date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200723,0,2,TR,90,184,1,4987,1361
20200921,15,2,ES,345,112,0,0,420
20201219,8,4,PT,56,2,0,0,16
20200624,2,2,HU,64,10,1,40698,44
20200917,15,4,IE,402,2,1,25403,4
20201223,2,2,AE,90,12,0,0,0
20200811,2,8,PT,90,6,0,0,59
20200710,0,8,DK,64,3,1,279938,683
20201019,8,15,AT,402,5,0,0,50
20200818,2,3,AA,402,12,0,0,50
20200530,8,3,PL,345,2,0,0,4
20201228,2,1,AT,56,2,0,0,47
20200503,41,8,AR,345,12,0,0,40
20201209,8,4,BE,345,2,0,0,11
20200503,41,3,PT,58,2,0,0,1
20200821,41,3,AT,56,2,0,0,41
20201001,41,15,ZA,64,8,0,0,109
20201204,41,3,EC,56,5,0,0,90
20201026,29,3,IN,64,120,1,83391,1197
20201005,41,1,BG,56,10,0,0,34
20201125,15,4,IL,64,23,1,43487,726
20200611,29,2,US,56,95,0,0,1700
20200409,15,1,PH,58,15,0,0,12
20201227,41,7,HK,56,3,1,17761,73
20201206,41,1,HK,56,29,2,17396,593
20200714,15,1,CL,56,4,0,0,16
20200810,0,2,TH,64,2,0,0,36
20200708,2,3,PL,402,8,0,0,89
20201210,0,2,PE,56,4,0,0,78
20200902,29,3,TR,402,5,0,0,11
20200525,29,1,SE,402,2,0,0,20
20201117,15,2,TR,402,17,0,0,40
20200812,5,13,ES,345,20,0,0,115
20201009,29,13,PH,56,2,0,0,74
20201128,29,2,US,7,8,0,0,465
20201209,41,13,XX,345,30,1,86909,602
20200831,15,4,NL,58,35,1,50450,893
20200516,0,2,PT,90,4,0,0,29
20200716,0,1,PL,64,20,1,7819,75
20201124,15,1,HK,64,8,0,0,123
20200915,0,7,BE,64,2,0,0,106
20200918,2,2,BG,402,5,0,0,22
20200624,41,1,CZ,64,6,1,10546,12
20200624,41,3,AT,56,2,0,0,5
20200711,2,7,AT,402,3,0,0,77
20201031,29,13,AE,56,3,0,0,89
20200715,0,4,AT,64,6,0,0,278
20200722,15,7,HU,56,12,0,0,28
20200928,2,2,TH,56,8,0,0,49
20200523,8,1,PT,56,68,0,0,81
20201105,8,7,TR,56,2,0,0,8
20201013,41,1,EC,56,5,0,0,25
20200713,5,1,SE,64,338,20,299445,8678
20200525,29,15,GR,402,3,0,0,8
20200830,15,7,XX,345,221,1,100185,1606
20200912,15,15,US,64,13,1,278038,1734
20200809,8,7,XX,58,252,1,109426,6306
20201030,41,4,ZZ,64,9,1,48966,308
20200916,5,1,HR,58,4,0,0,38
20200908,0,4,US,90,32,1,30491,3032
20200816,41,4,NL,56,14,0,0,286
20200622,8,2,ES,345,14,0,0,43
20201020,41,3,KR,64,8,0,0,243
20200802,15,1,SE,402,205,0,0,4750
20201120,5,8,TR,332,2,0,0,22
20200901,2,2,PE,64,8,0,0,208
20200614,301,1,SE,64,2,0,0,17
20200519,8,3,DK,64,2,0,0,36
20200618,41,1,PT,402,10,0,0,143
20200422,5,15,ES,402,5,0,0,38
20200412,41,1,NO,64,4,0,0,3
20200613,301,7,KR,64,2,0,0,7
20200404,2,1,XX,64,2,0,0,2
20201105,0,1,YY,56,189,25,200550,5313
20200904,2,4,TR,402,41,0,0,96
20200809,5,1,IE,90,29,1,12284,61
20201022,8,2,AR,402,3,0,0,13
20200915,0,3,AE,56,6,2,39320,120
20201110,15,1,PT,58,2,0,0,1
20200521,41,13,PT,345,25,0,0,77
20200728,15,2,IN,402,16,0,0,38
20200701,15,1,CZ,58,7,0,0,7
20200704,41,4,TR,402,60,0,0,140
20200903,301,15,ES,345,9,0,0,92
20200826,5,4,TR,402,68,0,0,160
20200822,2,2,IE,56,3,0,0,30
20200528,15,15,TR,139,7,0,0,30
20200622,29,7,GR,402,20,1,177032,88
20200908,41,1,IN,64,25,0,0,20
20200911,15,15,TW,56,2,0,0,22
20200720,8,3,SE,64,115,7,258326,6793
20201118,0,1,HK,90,224,23,101888,7389
20200515,41,7,TR,56,8,0,0,6
20201122,5,2,ID,402,2,0,0,8
20200806,2,2,RS,56,9,0,0,14
20200611,41,1,YY,64,2,0,0,11
20200906,301,3,US,64,11,1,48147,193
